Regija,HLY_observed,HLY_predicted,Residual
Pomurska,61.2,60.840252924139676,0.3597470758603265
Podravska,62.7,64.01166967851916,-1.3116696785191522
Koroska,65.2,65.82200740154886,-0.6220074015488564
Savinjska,62.4,64.90952361348633,-2.50952361348633
Zasavska,63.4,63.31517458237897,0.08482541762102613
Posavska,65.7,63.69023372323991,2.0097662767600895
Jugovzhodna Slovenija,66.2,66.32600823127743,-0.12600823127742444
Osrednjeslovenska,67,67.53275894535274,-0.5327589453527395
Gorenjska,67.9,67.17246388758862,0.7275361124113857
Primorsko-notranjska,64.8,65.73493010398059,-0.9349301039805908
Goriska,67.7,67.94372976114639,-0.24372976114638334
Obalno-kra?a,69.6,66.47906699681266,3.120933003187332
Ostale regije (AVG),65.7,65.72218015052898,-0.022180150528981812
