Regija,Kazalnik,Vrednost
Pomurska,HLY,61.2
Pomurska,ITM,62.2
Pomurska,Prehrana,76.6
Pomurska,Aktivnost,63.2
Pomurska,Izobrazba,23.4
Pomurska,Brezposelnost,6
Pomurska,Delovna,57.7
Pomurska,AlkBolezni,2.4
Pomurska,Opijanje,42
Ostale regije,HLY,65.69090909090909
Ostale regije,ITM,57.7
Ostale regije,Prehrana,75.50909090909092
Ostale regije,Aktivnost,58.481818181818184
Ostale regije,Izobrazba,29.472727272727273
Ostale regije,Brezposelnost,5.072727272727272
Ostale regije,Delovna,66.2909090909091
Ostale regije,AlkBolezni,1.981818181818182
Ostale regije,Opijanje,42.236363636363635
